pkoakwood,oakwood_date
543,1870-10-07
544,1870-10-15
545,1870-10-17
546,1870-10-22
547,1870-10-22
548,1870-10-24
549,1870-10-28
550,1870-10-28
551,1870-10-29
552,1870-10-30
553,1870-11-01
554,1870-11-03
555,1870-11-04
556,1870-11-14
557,1870-11-14
558,1870-11-18
559,1870-11-18
560,1870-11-22
561,1870-11-22
562,1870-11-30
563,1870-12-01
564,1870-12-05
565,1870-12-08
566,1870-12-08
567,1870-12-09
568,1870-12-09
569,1870-12-09
570,1870-12-18
571,1870-12-18
572,1870-12-19
573,1870-12-21
574,1870-12-25
575,1870-12-26
576,1870-12-29
577,1871-01-02
578,1871-01-06
579,1871-01-08
580,1871-01-11
581,1871-01-14
582,1871-01-14
583,1871-01-19
584,1871-01-19
585,1871-01-27
586,1871-01-29
587,1871-01-30
588,1871-01-31
589,1871-02-04
590,1871-02-04
591,1871-02-06
592,1871-02-07
593,1871-02-08
594,1871-02-08
595,1871-02-16
596,1871-02-19
597,1871-02-19
598,1871-02-22
599,1871-02-23
600,1871-02-23
601,1871-02-25
602,1871-02-25
603,1871-02-26
604,1871-03-04
605,1871-03-04
606,1871-03-04
607,1871-03-05
608,1871-03-06
609,1871-03-08
610,1871-03-10
611,1871-03-17
612,1871-03-19
613,1871-03-19
614,1871-03-23
615,1871-03-23
616,1871-03-25
617,1871-03-31
618,1871-04-01
619,1871-04-02
620,1871-04-03
621,1871-04-03
622,1871-04-10
623,1871-04-14
624,1871-04-18
625,1871-04-18
626,1871-04-25
627,1871-04-25
628,1871-04-28
629,1871-04-29
630,1871-04-30
631,1871-05-01
632,1871-05-05
633,1871-05-07
634,1871-05-09
635,1871-05-13
636,1871-05-15
637,1871-05-16
638,1871-05-21
639,1871-05-22
640,1871-05-28
641,1871-06-01
642,1871-06-04
643,1871-06-04
644,1871-06-06
645,1871-06-07
646,1871-06-08
647,1871-06-13
648,1871-06-16
649,1871-06-17
650,1871-06-17
651,1871-06-18
652,1871-06-19
653,1871-06-22
654,1871-06-22
655,1871-06-25
656,1871-06-25
657,1871-06-27
658,1871-06-30
659,1871-07-03
660,1871-07-03
661,1871-07-05
662,1871-07-06
663,1871-07-07
664,1871-07-07
665,1871-07-15
666,1871-07-17
667,1871-07-19
668,1871-07-23
669,1871-07-23
670,1871-07-24
671,1871-07-26
672,1871-07-30
673,1871-07-30
674,1871-07-31
675,1871-08-03
676,1871-08-11
677,1871-08-12
678,1871-08-12
679,1871-08-14
680,1871-08-15
681,1871-08-15
682,1871-08-15
683,1871-08-23
684,1871-08-23
685,1871-08-23
686,1871-08-24
687,1871-08-26
688,1871-09-02
689,1871-09-07
690,1871-09-10
691,1871-09-10
692,1871-09-13
693,1871-09-13
694,1871-09-16
695,1871-09-17
696,1871-09-18
697,1871-09-20
698,1871-09-20
699,1871-09-23
700,1871-09-24
701,1871-09-25
702,1871-09-28
703,1871-10-04
704,1871-10-10
705,1871-10-13
706,1871-10-14
707,1871-10-14
708,1871-10-14
709,1871-10-18
710,1871-10-20
711,1871-10-21
712,1871-10-21
713,1871-10-23
714,1871-10-23
715,1871-10-24
716,1871-10-24
717,1871-10-24
718,1871-10-26
719,1871-10-29
720,1871-10-31
721,1871-11-01
722,1871-11-02
723,1871-11-02
724,1871-11-02
725,1871-11-04
726,1871-11-06
727,1871-11-07
728,1871-11-11
729,1871-11-15
730,1871-11-18
731,1871-11-19
732,1871-11-20
733,1871-11-20
734,1871-11-21
735,1871-11-28
736,1871-11-29
737,1871-11-29
738,1871-12-03
739,1871-12-15
740,1871-12-15
741,1871-12-16
742,1871-12-16
743,1871-12-16
744,1871-12-16
745,1871-12-23
746,1871-12-26
747,1871-12-27
748,1871-12-28
749,1871-12-28
750,1871-12-29
751,1871-12-29
752,1871-12-29
753,1872-01-05
754,1872-01-05
755,1872-01-10
756,1872-01-12
757,1872-01-14
758,1872-01-18
759,1872-01-24
760,1872-01-24
761,1872-01-24
762,1872-01-25
763,1872-01-25
764,1872-01-26
765,1872-01-27
766,1872-02-02
767,1872-02-03
768,1872-02-04
769,1872-02-05
770,1872-02-10
771,1872-02-11
772,1872-02-12
773,1872-02-13
774,1872-02-17
775,1872-02-25
776,1872-02-24
