pkoakwood,nativity
894,Blank
895,Blank
896,Blank
897,Blank
898,Blank
899,Mexico
900,Mexico
901,Blank
902,New York
903,England
904,Tennessee
905,Blank
906,Blank
907,Blank
908,Blank
909,Blank
910,Blank
911,Blank
912,Blank
913,Blank
914,Blank
915,Blank
916,Sweden
917,Blank
918,Blank
919,Blank
920,Blank
921,Blank
922,Blank
923,Blank
924,Blank
925,Blank
926,Illinois
927,Canada
928,Maryland
929,Blank
930,Blank
931,Blank
932,Blank
933,Blank
934,Blank
935,Blank
936,Blank
937,Blank
938,Sweden
939,
940,Blank
941,Blank
942,Blank
943,Blank
944,Blank
945,Blank
946,Blank
947,Blank
948,Blank
949,Blank
950,Blank
951,Blank
952,Blank
953,Blank
954,Blank
955,Blank
956,Blank
957,Blank
958,Blank
959,Blank
960,Blank
961,Blank
962,Blank
963,Blank
964,South Carolina
965,Blank
966,Blank
967,Blank
968,Blank
969,Blank
970,Blank
971,Walnut Creek
972,North Carolina
973,Blank
974,Blank
975,Blank
976,Blank
977,Blank
978,Blank
979,Blank
980,Sweden
981,Arkansas
982,Blank
983,Blank
984,Blank
985,Blank
986,Blank
987,"Rusk County, Tex"
988,Blank
989,Blank
990,Blank
991,Blank
992,Blank
993,Blank
994,
995,Blank
996,Blank
997,Blank
998,Blank
999,Blank
1000,Blank
1001,Blank
1002,Blank
1003,Blank
1004,Blank
1005,Blank
1006,Blank
1007,Blank
1008,Blank
1009,Blank
1010,Blank
1011,Blank
1012,Blank
1013,Blank
1014,Blank
1015,Blank
1016,Blank
1017,Blank
1018,Blank
1019,Blank
1020,Blank
1021,Blank
1022,Blank
1023,Blank
1024,Blank
1025,Blank
1026,Blank
1027,Blank
1028,Blank
1029,Blank
1030,Blank
1031,Blank
1032,Blank
1033,Blank
1034,Blank
1035,Blank
1036,Blank
1037,Blank
1038,Blank
1039,Blank
1040,Blank
1041,Blank
1042,England
1043,Blank
1044,Mex
1045,Blank
1046,Blank
1047,Blank
1048,Blank
1049,Blank
1050,Blank
1051,Blank
1052,Blank
1053,Blank
1054,Blank
1055,Blank
1056,Blank
1057,Blank
1058,Blank
1059,Blank
1060,Blank
1061,Blank
1062,Blank
1063,Blank
1064,Blank
1065,Blank
1066,Blank
1067,Blank
1068,Blank
1069,Blank
1070,Blank
1071,Blank
1072,Blank
1073,Blank
1074,Blank
1075,Blank
1076,Blank
1077,Blank
1078,
1079,
1080,Blank
1081,Blank
1082,Blank
1083,Blank
1084,Blank
1085,Blank
1086,Blank
1087,Blank
1088,Blank
1089,Blank
1090,Blank
1091,Blank
1092,Blank
1093,Blank
1094,Blank
1095,Blank
1096,Blank
1097,Blank
1098,Blank
1099,Blank
1100,Swede
1101,Blank
1102,Blank
1103,Blank
1104,Blank
1105,Blank
1106,Blank
1107,Blank
1108,Blank
1109,Blank
1110,Blank
1111,Blank
1112,Blank
1113,Blank
1114,Blank
1115,Blank
1116,Blank
1117,Blank
1118,Blank
1119,Blank
1120,Blank
1121,Blank
1122,Blank
1123,Blank
1124,Blank
1125,Blank
1126,Blank
1127,
1128,Blank
1129,Blank
1130,Blank
1131,Blank
1132,Blank
1133,Blank
1134,Blank
1135,
1136,Blank
1137,Blank
1138,Blank
1139,Blank
1140,Blank
1141,Blank
1142,Blank
1143,Blank
1144,Blank
1145,Blank
1146,Swede
1147,Blank
1148,Blank
1149,Blank
1150,Blank
1151,Blank
1152,Blank
1153,Blank
1154,Blank
1155,Blank
1156,Blank
1157,Blank
1158,Blank
1159,Blank
1160,Blank
1161,Blank
1162,Blank
1163,Blank
1164,Blank
1165,Blank
1166,Blank
1167,Blank
1168,Blank
1169,Blank
1170,Blank
1171,Blank
1172,Blank
1173,Blank
1174,England
1175,Blank
1176,San Antonio
1177,Blank
1178,Blank
1179,Blank
1180,Blank
1181,Blank
1182,Blank
1183,Blank
1184,Blank
1185,Blank
1186,Blank
1187,Blank
1188,Blank
1189,Blank
1190,Blank
1191,Blank
1192,Blank
1193,Blank
1194,Blank
1195,Blank
1196,Blank
1197,Blank
1198,Blank
1199,Blank
1200,Sweden
1201,Blank
1202,Blank
1203,Blank
1204,Blank
1205,Blank
1206,Blank
1207,Blank
1208,Blank
1209,
1210,Blank
1211,Blank
1212,Blank
1213,Blank
1214,Blank
1215,Blank
1216,Blank
1217,Blank
1218,Blank
1219,Blank
1220,Blank
1221,Blank
1222,Germany
1223,
1224,Blank
1225,Blank
1226,Blank
1227,Blank
1228,Blank
1229,Blank
1230,Blank
1231,Blank
1232,Blank
1233,
1234,Blank
1235,Blank
1236,
1237,Blank
1238,Blank
1239,Blank
1240,Blank
1241,Blank
1242,Blank
1243,Ireland
1244,Blank
1245,Blank
1246,Georgia
1247,Blank
1248,Blank
1249,Germany
1250,Blank
1251,Blank
1252,Blank
1253,Kentucky
1254,Blank
1255,Blank
1256,Blank
1257,Blank
1258,Blank
1259,Blank
1260,
1261,Blank
1262,Blank
1263,Blank
1264,Blank
1265,Blank
1266,Blank
1267,Blank
1268,Blank
1269,Blank
1270,Blank
1271,Blank
1272,Sweden
1273,Blank
1274,Blank
1275,Virginia
1276,Blank
1277,Blank
1278,Blank
1279,Blank
1280,Blank
1281,Blank
1282,Blank
1283,"Austin, Texas"
1284,"Natchez, Miss"
1285,Texas
1286,"Austin, Texas"
1287,"Austin, Texas"
1288,"Austin, Texas"
1289,New York
1290,Blank
1291,"Austin, Texas"
1292,"Austin, Texas"
1293,"Austin, Texas"
1294,New York
1295,"Austin, Texas"
1296,Blank
1297,"Austin, Texas"
1298,"Saxony, Germany"
1299,Blank
1300,Manschack Spring
1301,"Austin, Tex"
1302,"Austin, Texas"
1303,Ireland
1304,Vermont
1305,"Austin, Tex"
1306,Schleswig Holstein
1307,"Austin, Tx"
1308,"Austin, Tx"
1309,Blank
1310,"Austin, Tx"
1311,"Austin, Tx"
1312,"Austin, Tx"
1313,Alabama
1314,Blank
1315,"Austin, Tx"
1316,"Austin, Tx"
1317,Tennesee
1318,Virginia
1319,"Austin, Tx"
1320,"Austin, Tx"
1321,"Austin, Tx"
1322,Austin. Tx
1323,Italia
1324,Mississippi
1325,San Antonio
1326,"Austin, Tx"
1327,Texas
1328,Austin
1329,Blank
1330,Austin
1331,Blank
1332,Blank
1333,Austin
1334,Blank
1335,Austin
1336,Austin
1337,Austin
1338,Austin
1339,Austin
1340,Indiana
1341,Austin
1342,Austin
1343,Austin
1344,Austin
1345,Austin
1346,Austin
1347,Austin
1348,Blank
1349,Austin
1350,Louisianna
1351,Austin
1352,Austin
1353,Arkansas
1354,Austin
1355,Austin
1356,Tennesee
1357,Austin
1358,Ireland
1359,Ohio
1360,Austin
1361,Blank
1362,Austin
1363,Austin
1364,Louisanna
1365,Austin
1366,Blank
1367,Blank
1368,Austin
1369,Ireland
1370,Blank
1371,Austin
1372,Blank
1373,Austin
1374,Blank
1375,Blank
1376,Blank
1377,Germany
1378,Austin
1379,Austin
1380,Germany
1381,Austin
1382,Austin
1383,Austin
1384,Austin
1385,Illinois
1386,Austin
1387,Missoury
1388,Bull Creek
1389,Germany
1390,Blank
1391,Blank
1392,Blank
1393,New York
1394,Germany
1395,Austin
1396,Austin
1397,Blank
1398,Austin
1399,Blank
1400,old Texian
1401,Germany
1402,England
1403,Texas
1404,Austin
1405,Austin
1406,Austin
1407,Germany
1408,Austin
1409,Austin
1410,Austin
1411,Austin
1412,Austin
1413,Austin
1414,Austin
1415,Austin
1416,Austin
1417,Austin
1418,Blank
1419,Austin
1420,Austin
1421,Austin
1422,Austin
1423,Unknown
1424,Austin
1425,Austin
1426,Austin
1427,Austin
1428,Austin
1429,Austin
1430,Austin
1431,Austin
1432,Blank
1433,Austin
1434,Austin
1435,Italia (Italy)
1436,Blank
1437,San Antonio
1438,Austin
1439,Austin
1440,Austin
1441,Little Walnut
1442,Travis Co.
1443,Austin
1444,Austin
1445,Tennessee
1446,Blank
1447,Blank
1448,Austin
1449,Austin
1450,Blank
1451,Austin
1452,Austin
1453,Austin
1454,Austin
1455,Blank
1456,Blank
1457,Bastrop Co.
1458,Austin
1459,Blank
1460,Austin
1461,Blank
1462,Misoury(Missouri)
1463,Blank
1464,Blank
1465,Blank
1466,Blank
1467,Austin
1468,Austin
1469,
1470,Austin
1471,Blank
1472,Germany
1473,Austin
1474,Austin
1475,Austin
1476,"Chihuahua, Mexico"
1477,Blank
1478,Austin
1479,Austin
1480,Austin
1481,Hokley
1482,California
1483,Austin
1484,Blank
1485,
1486,South Carolina
1487,New York
1488,Austin
1489,outside City
1490,Austin
1491,Blank
1492,Blank
1493,Austin
1494,Austin
1495,Blank
1496,Blank
1497,Blank
1498,Ford Bend (Fort Bend)
1499,Austin
1500,Austin
1501,Blank
1502,Austin
1503,Austin
1504,Austin
1505,Austin
1506,Blank
1507,Ireland
1508,Austin
1509,Austin
1510,Austin
1511,Austin
1512,St. Antonio
1513,Ireland
1514,Austin
1515,Robinson Co. (Robertson)
1516,Austin
1517,Blank
1518,Austin
1519,Austin
1520,Austin
1521,Austin
1522,Blank
1523,Austin
1524,Blank
1525,Illinois
1526,Sweden
1527,Austin
1528,Germany
1529,Austin
1530,Blank
1531,Alabama
1532,Missoury(Missouri)
1533,South Carolina
1534,Blank
1535,Blank
1536,Blank
1537,Austin
1538,Illinois
1539,Blank
1540,Blank
1541,Austin
1542,Blank
1543,Ohio
1544,Illinois
1545,South Carolina
1546,Austin
1547,Blank
1548,Georgia
1549,Austin
1550,Austin
1551,Hockley
1552,Hockley
1553,Hockley
1554,Burnet County
1555,St Marcus
1556,Houston
1557,Austin
1558,Austin
1559,Austin
1560,Austin
1561,Ireland
1562,Austin
1563,Austin
1564,Austin
1565,Austin
1566,Austin
1567,Blank
1568,Blank
1569,Blank
1570,"Selma, Alabama"
1571,Austin
1572,Austin
1573,Austin
1574,from country
1575,Blank
1576,Austin
1577,St. Antonio
1578,Austin
1579,Austin
1580,San Marcos
1581,Blank
1582,Austin
1583,Austin
1584,Austin
1585,Travis County
1586,Austin
1587,Blank
1588,Blank
1589,Austin
1590,Virginia
1591,Austin
1592,Austin
1593,Austin
1594,Austin
1595,Austin
1596,Austin
1597,Austin
1598,Austin
1599,Austin
1600,Austin
1601,Austin
1602,Austin
1603,Austin
1604,New York
1605,Austin
1606,Blank
1607,Blank
1608,Austin
1609,Austin
1610,Germany
1611,Austin
1612,Florida
1613,Austin
1614,Austin
1615,Austin
1616,Germany
1617,Travis County
1618,Austin
1619,Austin
1620,Austin
1621,Austin
1622,Austin
1623,Austin
1624,"Yorktown, Tx"
1625,Austin
1626,Austin
1627,Mississippi
1628,Austin
1629,W. Virginia
1630,Texas
1631,Texas
1632,Texas
1633,Austin
1634,Austin
1635,Austin
1636,Travis County
1637,Travis County
1638,Austin
1639,Travis County
1640,San Antonio
1641,Travis County
1642,Travis County
1643,Austin
1644,Travis County
1645,Ireland
1646,Austin
1647,Austin
1648,Austin
1649,Austin
1650,Austin
1651,Austin
1652,Austin
1653,Austin
1654,Mexico
1655,England
1656,Germany
1657,Austin
1658,Austin
1659,Texas
1660,Texas
1661,Texas
1662,Austin
1663,Austin
1664,Austin
1665,Austin
1666,Kentucky
1667,Blank
1668,Germany
1669,Blank
1670,Austin
1671,Austin
1672,Austin
1673,Austin
1674,Austin
1675,Germany
1676,Austin
1677,Austin
1678,Texas
1679,Texas
1680,Austin
1681,Blank
1682,Austin
1683,Louisiana
1684,Blank
1685,Webberville
1686,Austin
1687,Austin
1688,Blank
1689,Austin
1690,Austin
1691,Blank
1692,Kentucky
1693,Kendall County
1694,Austin
1695,Austin
1696,Austin
1697,Austin
1698,Austin
1699,Austin
1700,Austin
1701,Belgium
1702,Virginia
1703,Blank
1704,Austin
1705,Austin
1706,Austin
1707,New England
1708,Austin
1709,Austin
1710,Austin
1711,Austin
1712,Germany
1713,Germany
1714,Austin
1715,Texas
1716,Austin
1717,Travis County
1718,Blank
1719,Germany
1720,Ireland
1721,"Marshall, Texas"
1722,Austin
1723,Austin
1724,Austin
1725,Austin
1726,Blank
1727,Austin
1728,Austin
1729,New England
1730,Clarksville
1731,Mississippi
1732,"Sonora, Mexico"
1733,"Manor Station, Travis County"
1734,Blank
1735,Austin
1736,Austin
1737,Austin
1738,Travis County
1739,Blank
1740,San Saba
1741,Weedville
1742,Austin
1743,Blank
1744,Blank
1745,Germany
1746,Austin
1747,Austin
1748,Austin
1749,Mexico
1750,Austin
1751,Austin
1752,Austin
1753,Austin
1754,Austin
1755,Ohio
1756,Blank
1757,Austin
1758,Virginia
1759,"Walnut Creek, Travis County"
1760,Kentucky
1761,Blank
1762,Blank
1763,Austin
1764,Austin
1765,Blank
1766,Indiana
1767,Blank
1768,Blank
1769,Texas
1770,Austin
1771,Travis Co.
1772,Blank
1773,Blank
1774,Austin
1775,Baltimore
1776,Blank
1777,Austin
1778,Germany
1779,Austin
1780,
1781,Austin
1782,Illnois
1783,Blank
1784,Austin
1785,Austin
1786,Blank
1787,Austin
1788,Blank
1789,Sweden
1790,Germany
1791,Austin
1792,Austin
1793,Kentucky
1794,Blank
1795,"Gonzales, Texas"
1796,Austin
1797,not given
1798,Blank
1799,Austin
1800,Austin
1801,not given
1802,Austin
1803,not given
1804,Austin
1805,Austin
1806,Austin
1807,Germany
1808,Austin
1809,Blank
1810,Travis Co.
1811,Austin
1812,Blank
1813,Austin
1814,Austin
1815,Austin
1816,Travis Co.
1817,Austin
1818,Rockdale
1819,Austin
1820,Austin
1821,Austin
1822,Austin
1823,Austin
1824,Austin
1825,Austin
1826,St. Antonion
1827,Austin
1828,Austin
1829,Austin
1830,Blank
1831,Austin
1832,Austin
1833,Austin
1834,Austin
1835,Travis Co
1836,Germany
1837,Austin
1838,Austin
1839,Austin
1840,Blank
1841,Austin
1842,Austin
1843,Austin
1844,not given
1845,"Onion Creek, T.Co."
1846,Clarksville
1847,Bertrams Place
1848,Austin
1849,not given
1850,Austin
1851,not given
1852,Blank
1853,unknown
1854,Austin
1855,Austin
1856,Austin
1857,Austin
1858,Austin
1859,Austin
1860,not given
1861,Blank
1862,Austin
1863,Travis Co.
1864,Blank
1865,Blank
1866,Germany
1867,Austin
1868,Blank
1869,Travis Co.
1870,Austin
1871,Travis Co.
1872,Austin
1873,Austin
1874,Austin
1875,Austin
1876,Austin
1877,"San Marcos, Hays Co."
1878,Germany
1879,Wheatville
1880,"Dublin, Ireland"
1881,Austin
1882,not given
1883,Austin
1884,Sweden
1885,Austin
1886,Germany
1887,Masontown
1888,Austin
1889,Austin
1890,Austin
1891,Austin
1892,Austin
1893,not known
1894,Germany
1895,Ireland
1896,Austin
1897,Clarksville
1898,Austin
1899,Austin
1900,Austin
1901,Austin
1902,Round Rock
1903,Germany
1904,Austin
1905,Germany
1906,Austin
1907,Wheatville
1908,South Carolina
1909,Austin
1910,Austin
1911,Austin
1912,Williams Co.(Williamson)
1913,Austin
1914,Missouri
1915,Austin
1916,Austin
1917,Tennesee
1918,Austin
1919,Kentucky
1920,Austin
1921,Austin
1922,"Nachodothis, Texas"
1923,Georgia
1924,not given
1925,Austin
1926,Austin
1927,not given
1928,Austin
1929,Austin
1930,Austin
1931,Blank
1932,Austin
1933,Travis Co.
1934,Austin
1935,Austin
1936,Austin
1937,Austin
1938,Austin
1939,Austin
1940,Austin
1941,Austin
1942,Austin
1943,Sweden
1944,not given
1945,Blank
1946,Austin
1947,Austin
1948,Alabama
1949,Austin
1950,not given
1951,Austin
1952,Austin
1953,Austin
1954,Austin
1955,Austin
1956,Georgia
1957,Austin
1958,Austin
1959,Misoury(Missouri)
1960,Austin
1961,Austin
1962,"Ellis Co., TX"
1963,Austin
1964,Austin
1965,Austin
1966,Germany
1967,Austin
1968,Austin
1969,Austin
1970,Austin
1971,Austin
1972,South Carolina
1973,Austin
1974,Blank
1976,Austin
1977,Austin
1978,Travis Co.
1979,Austin
1980,Germany
1981,Travis Co.
1982,not given
1983,Austin
1984,Austin
1985,Austin
1986,not given
1987,North Carolina
1988,not given
1989,Austin
1990,Austin
1991,not given
1992,Austin
1993,Sweden
1994,Austin
1995,Williams Co.(Williamson)
