pkoakwood,firstname
948,Infant of William
949,Eva
950,Mexican
951,Rev. A. A.
952,Infant of George
953,Infant of Mr.
954,Woman
955,Willis S.
956,Mrs.
957,Infant of P.
958,Infant of Mr.
959,Annie
960,Child of James C.
961,J. B.
962,J. E.
963,Emma
964,Annie
965,Infant of Bob
966,Mrs. Emma
967,Miss
968,Infant
969,Mr.
970,Infant
971,Colored Girl
972,Squire
973,Miss
974,Mrs. James
975,Annie
976,Infant
977,Col. D.
978,G. W.
979,Mrs. Matilda
980,N
981,John
982,Infant
983,Robert
984,T. W.
985,Lucy
986,W. T.
987,Thomas
988,Mrs. Ann
989,Little Negro
990,No name given
991,Wm.
992,Monk
993,Dinah
994,Oscar R.
995,Samuel W.
996,Elsy C.
997,Col. Joseph H.
998,Julia
999,A. G.
1000,Wm.
1001,J. D.
1002,J. E.
1003,Anna
1004,Mrs. Mary
1005,H. G.
1006,H.
1007,Mike
1008,Little Negro
1009,Margaret
1010,Mary
1011,Infant of Pinkney
1012,P. P.
1013,Mrs. Leah A.
1014,Infant of Frank
1015,Mrs.
1016,Barnhart
1017,Willie
1018,H. H.
1019,Thomas N.
1020,Infant of Daniel
1021,Henry
1022,Clara L.
1023,Burrell
1024,Mr.
1025,Marcus
1026,Mrs. Mary Ann
1027,Colored Man
1028,Mrs. Eudocia
1029,Col. Thos
1030,Stewart
1031,Clara
1032,Mrs. M. A.
1033,Little Negro
1034,Infant of Mary
1035,Mrs.
1036,H. W.
1037,Mrs. Sophia J.
1038,Martin V.
1039,Laura
1040,Thomas
1041,Child
1042,Charles
1043,Fanny
1044,Infant
1045,Riley B.
1046,Virginia
1047,Andrew
1048,Frank
1049,Mrs. C.
1050,William
1051,Nelle
1052,Miss Ruth A
1053,Monroe
1054,Miss Mollie
1055,Helena J. A.
1056,Lavinia
1057,G. W.
1058,Lawson
1059,Child of Mr.
1060,Norwegian child
1061,Child
1062,Maggy
1063,Robert Foote
1064,Mr.
1065,Mrs.
1066,James
1067,Infant of Modie
1068,J. W.
1069,Infant of J. M.
1070,Charles
1071,Samuel
1072,Mrs. Elizabeth
1073,Isaac
1074,Mexican Child
1075,Harris
1076,Infant of Lucy
1077,Edward
1078,Mrs. S.
1079,Mrs. Elizabeth
1080,Woman
1081,Woman
1082,Mexican
1083,Mexican
1084,Infant
1085,Infant of Mr. J.
1086,James
1087,Infant
1088,C. R.
1089,J.
1090,W. J.
1091,Mrs.
1092,Ann
1093,Jesus
1094,Eliza
1095,Infant of
1096,Thomas
1097,Florence
1098,George
1099,Botha
1100,Nellie
1101,Mrs. Sarah
1102,Dr. A. H.
1103,Infant
1104,Infant of Sam
1105,Infant of J. C.
1106,H.
1107,Woman
1108,Boy
1109,Infant of J. T.
1110,Sidney
1111,Infant of Capt.
1112,Infant of C. R.
1113,Albert
1114,Albert P.
1115,Miss Ada
1116,Infant of Paul
1117,Mrs. T & infant
1118,Wm. M.
1119,Mrs. M. J.
1120,Infant of Lewis
1121,Child
1122,Texas
1123,Mr.
1124,Child
1125,B. H.
1126,Porter
1127,Mr.
1128,Infant of Mr.
1129,Child of Colen
1130,Joseph
1131,Lawson
1132,Wife of Alfred
1133,C. H.
1134,Mrs. Emanual
1135,Edward
1136,Man
1137,Child of Mr.
1138,Child
1139,Mexican
1140,Andrew W.
1141,Mrs. Ada
1142,Child
1143,Child
1144,Robert
1145,Infant of Mrs.
1146,Infant
1147,Mrs.
1148,Charles
1149,James
1150,Paul
1151,Horatio
1152,Wallace
1153,Judge J. G.
1154,Elizabeth
1155,Salina
1156,Infant Mexican
1157,Colored Infant
1158,Infant of Dr. A.
1159,Colored Infant
1160,Infant of F.
1161,Mrs. A.
1162,Mexican
1163,Infant of Mary E.
1164,Infant of Mr.
1165,Ruman
1166,Thomas
1167,J. O.
1168,Infant
1169,P. J.
1170,Patrick
1171,Colored Woman
1172,Mexican Child
1173,Mrs. E. M.
1174,Mr. Thos.
1175,Peter
1176,Herman
1177,Mrs.
1178,Thomas F.
