pkoakwood,yearsmonthsdays
985,023-00-00
986,025-00-00
987,026-00-00
988,055-00-00
989,Blank
990,Blank
991,002-00-00
992,045-00-00
993,093-00-00
994,000-04-14
995,054-00-00
996,000-16-00
997,065-00-00
998,082-00-00
999,Blank
1000,004-00-00
1001,028-00-00
1002,025-00-00
1003,002-11-00
1004,070-00-00
1005,000-00-03
1006,000-00-10
1007,028-00-00
1008,002-00-00
1009,018-00-00
1010,000-03-00
1011,000-13-00
1012,Blank
1013,Blank
1014,000-18-00
1015,Blank
1016,058-00-00
1017,003-00-00
1018,030-00-00
1019,028-00-00
1020,000-09-00
1021,000-10-00
1022,003-00-00
1023,023-00-00
1024,050-00-00
1025,
1026,086-00-00
1027,080-00-00
1028,029-00-00
1029,067-06-00
1030,005-00-00
1031,025-00-00
1032,046-00-00
1033,000-00-03
1034,Blank
1035,021-00-00
1036,000-06-00
1037,Blank
1038,030-00-00
1039,004-00-00
1040,065-00-00
1041,000-00-03
1042,025-00-00
1043,038-00-00
1044,000-02-00
1045,056-00-00
1046,002-07-00
1047,003-08-00
1048,002-00-00
1049,062-00-00
1050,030-00-00
1051,026-00-00
1052,024-00-00
1053,020-00-00
1054,026-00-00
1055,000-04-00
1056,004-00-00
1057,028-00-00
1058,028-00-00
1059,Blank
1060,000-04-00
1061,000-03-02
1062,000-03-00
1063,000-03-22
1064,019-00-00
1065,056-00-00
1066,030-00-00
1067,000-03-00
1068,045-00-00
1069,Blank
1070,000-07-00
1071,035-00-00
1072,Blank
1073,045-00-00
1074,000-11-00
1075,070-00-00
1076,000-08-00
1077,022-00-00
1078,
1079,026-00-00
1080,023-00-00
1081,018-00-00
1082,Blank
1083,Blank
1084,000-03-00
1085,Blank
1086,035-00-00
1087,000-11-00
1088,025-00-00
1089,077-00-00
1090,003-00-00
1091,026-00-00
1092,055-00-00
1093,002-00-00
1094,004-06-00
1095,000-02-00
1096,072-00-00
1097,006-00-00
1098,004-00-00
1099,030-00-00
1100,Blank
1101,040-00-00
1102,042-00-00
1103,Blank
1104,000-00-00
1105,000-00-00
1106,047-00-00
1107,085-00-00
1108,002-00-00
1109,000-00-05
1110,032-00-00
1111,Blank
1112,Blank
1113,004-00-00
1114,005-00-00
1115,026-00-00
1116,000-05-00
1117,022-00-00
1118,004-00-00
1119,041-00-00
1120,000-15-00
1121,000-04-00
1122,017-00-00
1123,014-00-00
1124,000-04-00
1125,032-00-00
1126,050-00-00
1127,022-00-00
1128,Blank
1129,000-03-00
1130,005-00-00
1131,025-00-00
1132,026-00-00
1133,046-00-00
1134,040-00-00
1135,021-00-00
1136,Blank
1137,000-15-00
1138,Blank
1139,030-00-00
1140,003-00-00
1141,019-00-00
1142,000-11-00
1143,000-13-00
1144,049-00-00
1145,Blank
1146,000-00-00
1147,038-00-00
1148,040-00-00
1149,002-00-00
1150,006-00-00
1151,015-00-00
1152,025-00-00
1153,040-00-00
1154,002-00-00
1155,030-00-00
1156,Blank
1157,Blank
1158,000-00-05
1159,Blank
1160,Blank
1161,020-00-00
1162,035-00-00
1163,Blank
1164,000-05-00
1165,051-00-00
1166,018-00-00
1167,004-00-00
1168,Blank
1169,027-00-00
1170,017-00-00
1171,035-00-00
1172,002-00-00
1173,048-00-00
1174,034-00-00
1175,Blank
1176,020-00-00
1177,041-00-18
1178,073-00-00
1179,Blank
1180,Blank
1181,030-00-00
1182,000-06-00
1183,000-06-00
1184,Blank
1185,Blank
1186,066-00-00
1187,084-00-00
1188,001-00-00
1189,016-00-00
1190,Blank
1191,000-22-00
1192,Blank
1193,Blank
1194,038-00-00
1195,Blank
1196,Blank
1197,040-00-00
1198,000-15-00
1199,045-00-00
1200,028-00-00
1201,Blank
1202,Blank
1203,000-00-42
1204,002-00-00
1205,000-16-00
1206,027-00-00
1207,007-04-00
1208,002-00-00
1209,
1210,Blank
1211,000-10-00
1212,Blank
1213,Blank
1214,Blank
