pkoakwood,nativity
1391,Unknown
1392,Unknown
1395,"Austin, Texas"
1396,"Austin, Texas"
1397,Unknown
1398,"Austin, Texas"
1399,Unknown
1404,"Austin, Texas"
1405,"Austin, Texas"
1406,"Austin, Texas"
1408,"Austin, Texas"
1409,"Austin, Texas"
1410,"Austin, Texas"
1411,"Austin, Texas"
1412,"Austin, Texas"
1413,"Austin, Texas"
1414,"Austin, Texas"
1415,"Austin, Texas"
1416,"Austin, Texas"
1417,"Austin, Texas"
1418,Unknown
1419,"Austin, Texas"
1420,"Austin, Texas"
1421,"Austin, Texas"
1422,"Austin, Texas"
1424,"Austin, Texas"
1425,"Austin, Texas"
1426,"Austin, Texas"
1427,"Austin, Texas"
1428,"Austin, Texas"
1429,"Austin, Texas"
1430,"Austin, Texas"
1431,"Austin, Texas"
1432,Unknown
1433,"Austin, Texas"
1434,"Austin, Texas"
1435,Italy
1436,Unknown
1437,"San Antonio, Texas"
1438,"Austin, Texas"
1439,"Austin, Texas"
1440,"Austin, Texas"
1442,"Travis County, Texas"
1443,"Austin, Texas"
1444,"Austin, Texas"
1446,Unknown
1447,Unknown
1448,"Austin, Texas"
1449,"Austin, Texas"
1450,Unknown
1451,"Austin, Texas"
1452,"Austin, Texas"
1453,"Austin, Texas"
1454,"Austin, Texas"
1455,Unknown
1456,Unknown
1457,"Bastrop, Texas"
1458,"Austin, Texas"
1459,Unknown
1460,"Austin, Texas"
1461,Unknown
1463,Unknown
1464,Unknown
1465,Unknown
1466,Unknown
1467,"Austin, Texas"
1468,"Austin, Texas"
1470,"Austin, Texas"
1471,Unknown
1473,"Austin, Texas"
1474,"Austin, Texas"
1475,"Austin, Texas"
1477,Unknown
1478,"Austin, Texas"
1479,"Austin, Texas"
1480,"Austin, Texas"
1481,Hockley
1483,"Austin, Texas"
1484,Unknown
1488,"Austin, Texas"
1490,"Austin, Texas"
1491,Unknown
1492,Unknown
1493,"Austin, Texas"
1494,"Austin, Texas"
1495,Unknown
1496,Unknown
1497,Unknown
1498,Fort Bend County
1499,"Austin, Texas"
1500,"Austin, Texas"
1501,Unknown
1502,"Austin, Texas"
1503,"Austin, Texas"
1504,"Austin, Texas"
1505,"Austin, Texas"
1506,Unknown
1508,"Austin, Texas"
1509,"Austin, Texas"
1510,"Austin, Texas"
1511,"Austin, Texas"
1512,San Antonio
1514,"Austin, Texas"
1515,"Robertson County, Texas"
1516,"Austin, Texas"
1517,Unknown
1518,"Austin, Texas"
1519,"Austin, Texas"
1520,"Austin, Texas"
1521,"Austin, Texas"
1522,Unknown
1523,"Austin, Texas"
1524,Unknown
1527,"Austin, Texas"
1529,"Austin, Texas"
1530,Unknown
1532,Missouri
1534,Unknown
1535,Unknown
1536,Unknown
1537,"Austin, Texas"
1539,Unknown
1540,Unknown
1541,"Austin, Texas"
1542,Unknown
