pkoakwood,whereburied
711,"Historic ""Colored Grounds"" 51"
712,
713,old grave yard
714,new cemetery
715,"Historic ""Colored Grounds"" 53"
716,"Historic ""Colored Grounds"" 54"
717,strangers grounds
718,new grave yard
719,new cemetery
720,
721,new cemetery
722,old cemetery
723,old cemetery
724,"Historic ""Colored Grounds"" 55"
725,"Historic ""Colored Grounds"" 56"
726,"Historic ""Colored Grounds"" 57"
727,new cemetery
728,"Historic ""Colored Grounds"" 58"
729,new cemetery
730,new cemetery
731,"new cemetery A. Eanes lot, single grave"
732,new cemetery
733,
734,"Historic ""Colored Grounds"" 60"
735,"new cemetery A Eanes lot, single grave"
736,"Historic ""Colored Grounds"" 61"
737,"Historic ""Colored Grounds"" 62"
738,"Historic ""Colored Grounds"" 63"
739,
740,"Historic ""Colored Grounds"" 65"
741,"Historic ""Colored Grounds"" 66"
742,"Historic ""Colored Grounds"" 67"
743,old grave yard
744,old grave yard
745,old grave yard
746,new cemetery
747,"new cemetery, single grave"
748,"Historic ""Colored Grounds"""
749,old grave yard
750,"Historic ""Colored Grounds"""
751,
752,Strangers Grounds
753,new cemetery
754,
755,"Historic ""Colored Grounds"" 1"
756,"Historic ""Colored Grounds"" 2"
757,new cemetery
758,old grave yard
759,"Historic ""Colored Grounds"" 3"
760,"Historic ""Colored Grounds"" 4"
761,old grave yard
762,"Historic ""Colored Grounds"" 5"
763,new cemetery
764,new cemetery
765,Strangers Grounds
766,"Historic ""Colored Grounds"" 6"
767,
768,new cemetery A Eanes lot
769,"Historic ""Colored Grounds"" 7"
770,old grave yard
771,old grave yard
772,"Historic ""Colored Grounds"" 8"
773,
774,new cemetery
775,"Historic ""Colored Grounds"" 9"
776,"Historic ""Colored Grounds"" 10"
777,new cemetery frac of lot
778,new cemetery
779,"Historic ""Colored Grounds"" 11"
780,"Historic ""Colored Grounds"" 12"
781,"Historic ""Colored Grounds"" 13"
782,new cemetery
783,new cemetery
784,new cemetery
785,new cemetery
786,strangers grounds
787,new cemetery
788,new cemetery
789,"new cemetery, single grave No 4"
790,
791,
792,"new grave yard, A. Eanes lot, single grave"
793,strangers grounds Sec 4
794,strangers grounds
795,
796,new cemetery
797,old cemetery A. Eanes lot
798,
799,
800,
801,new grave yard A. Eanes lot
802,Jews' grave yard
803,
804,new cemetery
805,"new cemetery, single grave"
806,family lot
807,family lot
808,"Historic ""Colored Grounds"" 16"
809,
810,New cemetery
811,"Historic ""Colored Grounds"" 18"
812,new cemetery
813,"Historic ""Colored Grounds"" 19"
814,"Historic ""Colored Grounds"" 20"
815,Strangers Grounds
816,"Historic ""Colored Grounds"" 21"
817,"Historic ""Colored Grounds"" 22"
818,strangers grounds
819,"old grave yard, A. Eanes lot"
820,new cemetery
821,"Historic ""Colored Grounds"" 23"
822,"new cemetery, A. Eanes lot"
823,"new cemetery, A. Eanes lot"
824,"new cemetery, A. Eanes lot"
825,"Historic ""Colored Grounds"" 24"
826,
827,"Historic ""Colored Grounds"" 25"
828,old cemetery
829,new cemetery
830,new cemetery
831,
832,
833,"Historic ""Colored Grounds"" 26"
834,"Historic ""Colored Grounds"" 27"
835,"Historic ""Colored Grounds"" 28"
836,"A. Eanes lot, single grave"
837,Strangers Grounds
838,"new cemetery, A. Eanes lot"
839,"new cemetery, block 356"
840,"Historic ""Colored Grounds"" 29"
841,"Historic ""Colored Grounds"" 30"
842,new cemetery on his lot
843,Strangers Grounds
844,new grave yard
845,"new cemetery, A. Eanes lot"
846,Strangers Grounds
847,new cemetery in family lot
848,new cemetery
849,"new cemetery, A. Eanes lot"
850,
851,"Historic ""Colored Grounds"" 33"
852,Strangers Grounds
853,"new cemetery, A. Eanes lot, single grave"
854,Strangers Grounds
855,
856,
857,"Historic ""Colored Grounds"" 34"
858,"Historic ""Colored Grounds"" 35"
859,"Historic ""Colored Grounds"" 36"
860,"Historic ""Colored Grounds"" 37"
861,new cemetery
862,new cemetery
863,
864,Strangers Grounds
865,"Historic ""Colored Grounds"" 38"
866,"Historic ""Colored Grounds"" 39"
867,Jewish Cemetery
868,new cemetery
869,new cemetery
870,"Historic ""Colored Grounds"" 40"
871,
872,"Historic ""Colored Grounds"" 41"
873,"Historic ""Colored Grounds"" 42"
874,"new cemetery, A. Eanes lot"
875,old grave yard
876,"Historic ""Colored Grounds"" 43"
877,new cemetery
878,new cemetery
879,new cemetery
880,"Historic ""Colored Grounds"" 44"
881,"new cemetery, A. Eanes lot"
882,"Historic ""Colored Grounds"" 45"
883,"Historic ""Colored Grounds"" 46"
884,"new cemetery, single grave"
885,Strangers Grounds
886,
887,"A. Eanes lot, single grave"
888,
889,
890,
891,"Historic ""Colored Grounds"""
892,new cemetery
893,"Historic ""Colored Grounds"" 47"
894,"new cemetery, A. Eanes lot"
895,new cemetery
896,old cemetery
897,
898,
899,Mexican grounds
900,Mexican grounds
901,"Historic ""Colored Grounds"" 49"
902,"new cemetery, A. Eanes lot"
903,new cemetery in vault
904,new cemetery
905,"Historic ""Colored Grounds"" 50"
906,Strangers Grounds
907,"new cemetery, Col Robard lot"
908,"Historic ""Colored Grounds"" 51"
