pkoakwood,whereburied
6035,Old Grounds
6036,Lot 587
6037,Lot 378
6038,Old Grounds
6039,new Pauper ground
6040,Colored Grounds
6041,Strangers Grounds
6042,Colored ground Lot 53
6043,Lot 175
6044,Lot 87
6045,Old graveyard
6046,new Mexican ground
6047,Lot 592
6048,E. 1/2 Lot 582
6049,Lot 592
6050,Lot 592
6051,Lot 591
6052,Strangers Grounds
6053,Lot 583
6054,Lot 38
6055,Lot 594
6056,
6057,new Pauper ground
6058,Lot 594
6059,Lot 443
6060,Lot 583
6061,
6062,Strangers Grounds
6063,Lot 175
6064,Lot 361
6065,
6066,new Colored ground
6067,
6068,
6069,
6070,Lot 589
6071,Lot 53
6072,Lot 528
6073,Lot 528
6074,Lot 167
6075,Lot 69
6076,Strangers Grounds
6077,Colored Grounds
6078,E. 1/2 Lot 574
6079,Strangers Grounds
6080,Lot 490
6081,Lot 128
6082,Colored Grounds
6083,Lot 407
6084,Strangers Grounds
6085,Lot 12
6086,
6087,Lot 584
6088,Strangers Grounds
6089,Lot 299
6090,Strangers Grounds
6091,Lot 333
6092,Lot 482
6093,
6094,Strangers Grounds
6095,Strangers Grounds
6096,Lot 584
6097,Old graveyard
6098,Blank
6099,Strangers Grounds
6100,Colored Grounds
6101,Blank
6102,Lot 571
6103,Old graveyard
6104,Lot 247
6105,Lot 509
6106,Lot 343
6107,Lot 55
6108,Lot 590
6109,Lot 87
6110,new Mexican ground
6111,Lot 66 Colored ground
6112,Colored Grounds
6113,Blank
6114,Strangers Grounds
6115,
6116,Strangers Grounds
6117,Old graveyard
6118,Lot 53
6119,Strangers Grounds
6120,Blank
6121,Lot 175
6122,Lot 212
6123,Lot 575
6124,
6125,Strangers Grounds
6126,
6127,Colored ground lot 53
6128,
6129,Strangers Grounds
6130,Strangers Grounds
6131,Lot 361
6132,Blank
6133,
6134,Lot 479
6135,Lot 377
6136,Lot 589
6137,Lot 588
6138,Strangers Grounds
6139,
6140,Lot 175
6141,Blank
6142,Lot 716
6143,Lot 584
6144,
6145,Lot 718
6146,Lot 725 nw 1/4
6147,Lot 589
6148,Blank
6149,Pauper grave
6150,Lot 383
6151,Lot 724
6152,
6153,
6154,Blank
6155,Jewish Cemetery
6156,
6157,
6158,Strangers Grounds
6159,Lot 175
6160,Lot 336
6161,
6162,Strangers Grounds
6163,
6164,
6165,
6166,Lot 725
6167,
6168,Lot 498
6169,
6170,Colored Grounds
6171,Strangers Grounds
6172,Strangers Grounds
6173,Lot 53
6174,Lot 191
6175,
6176,
6177,Lot 719
6178,Lot 718
6179,Jewish ground
6180,Lot 425
6181,Strangers Grounds
6182,
6183,Colored Grounds
6184,
6185,
6186,Old Grounds
6187,Strangers Grounds
6188,Strangers Grounds
6189,Colored Grounds
6190,Blank
6191,Lot 519
6192,Colored Grounds
6193,Lot 799
6194,Lot 799
6195,Lot 718
6196,Lot 799
6197,Lot 440
6198,Lot 366
6199,Lot 179
6200,
6201,Lot 363
6202,Colored Grounds
6203,Lot 714
6204,Lot 455
6205,Lot 799
6206,Colored Grounds
6207,Colored Grounds
6208,Colored Grounds
6209,Colored Grounds
6210,Colored Grounds
6211,Blank
6212,Colored Grounds
6213,
6214,
6215,Pauper ground
6216,Pauper ground
6217,old graveyard
6218,Lot 719
6219,Pauper
6220,Blank
6221,Pauper
6222,Blank
6223,Colored Grounds
6224,Pauper
6225,Colored Grounds
6226,Blank
6227,Blank
6228,Blank
6229,Blank
6230,Lot  55
6231,Blank
6232,Colored Grounds
6233,Blank
6234,Lot 54
6235,
6236,Pauper
6237,Lot 97
6238,Lot 55
6239,Colored Grounds
6240,Lot 55
6241,Lot 799
6242,Pauper
6243,Colored Grounds
6244,Lot 213
6245,Pauper
6246,Colored Grounds
6247,Blank
6248,Lot 55
6249,Pauper
6250,
6251,Lot 423
6252,Lot 571
6253,Pauper
6254,Lot 384
6255,Blank
6256,Lot 176
6257,Lot 721
6258,Lot 740
6259,Pauper
6260,
6261,Colored Grounds
6262,Lot 723
6263,Lot 94
6264,Lot 799
6265,Colored Grounds
6266,Colored Grounds
6267,Lot 5
6268,Lot 357
6269,Lot 495
6270,Lot 353
6271,Lot 723
6272,Blank
6273,Lot 799
6274,Lot 759
6275,Mexican Grounds
6276,Blank
6277,Blank
6278,Lot 720
6279,Lot 59
6280,Lot 799
6281,Blank
6282,Blank
6283,Blank
6284,Mexican Grounds
6285,Lot 581
6286,Old Grounds
6287,Mexican Grounds
6288,Lot 55
6289,
6290,Blank
6291,Blank
6292,Lot 484
6293,
6294,Lot 346
6295,Lot 178
6296,Lot 178
6297,Lot 268
6298,Pauper ground
6299,Lot 813
6300,Mexican Grounds
6301,Lot 757
6302,Pauper ground
6303,Pauper ground
6304,Lot 191
6305,Lot 722
6306,Lot 723
6307,Pauper ground
6308,Lot 54
6309,Strangers Grounds
6310,Lot 757
6311,Lot 268
6312,Lot 277
6313,Lot 561
6314,Lot 413
6315,Lot 403
6316,Old Grounds
6317,Lot 78
6318,Pauper ground
6319,Lot 211
6320,Colored Grounds
6321,Lot 53
6322,Lot 799
6323,Pauper ground
6324,Blank
6325,Hebrew ground
6326,
6327,Old Grounds
6328,Lot 96
6329,Pauper ground
6330,Colored Grounds
6331,Lot 55
6332,Mexican Grounds
6333,Catholic ground
6334,
6335,Pauper ground
6336,Lot 753
6337,Lot 799
6338,Blank
6339,Blank
6340,Colored Grounds
6341,Colored Grounds
6342,Lot 54
6343,Colored Grounds
6344,Pauper ground
6345,Pauper ground
6346,Pauper ground
6347,Lot 478
6348,Pauper ground
6349,Lot 564
6350,Lot 729
6351,Catholic
6352,Pauper ground
6353,Lot 65
6354,Lot 474
6355,Lot 158
6356,Lot 294
6357,Lot 94
6358,Lot 545
6359,Lot 755
6360,Lot 91
6361,Pauper ground
6362,Old graveyard
6363,Pauper ground
6364,Lot 442
6365,Lot 755
6366,
6367,Catholic ground
6368,Catholic ground
6369,Pauper ground
6370,Lot 94
6371,Lot 178
6372,Lot 755
6373,Lot 213
6374,Lot 94
6375,Lot 94
6376,Lot 567
6377,Pauper ground
6378,Lot 541
6379,Colored Grounds
6380,Lot 135
6381,Old graveyard
6382,by fence
6383,Lot 86
6384,Lot 567
6385,Lot 765
6386,Pauper ground
6387,Lot 541
6388,Lot 377
6389,Lot 95
6390,Old graveyard
6391,Lot 55
6392,by fence
6393,Lot 318
6394,Lot 761
6395,by fence
6396,by fence
6397,by fence
6398,Catholic ground
6399,by fence
6400,Old graveyard
6401,Lot 412
6402,Lot 307
6403,Old graveyard
6404,Lot 249
6405,Lot 162
6406,Lot 217
6407,Pauper ground
6408,Catholic ground
6409,Old graveyard
6410,Lot 217
6411,Lot 761
6412,Blank
6413,Colored Grounds
6414,Lot 567
6415,Lot 512
6416,Catholic ground
6417,Lot 764
6418,by fence
6419,Blank
6420,Catholic ground
6421,Blank
6422,Lot 765
6423,Lot 94
6424,by fence
6425,
6426,Old graveyard
6427,Old graveyard
6428,Lot 765
6429,Old graveyard
6430,
6431,Lot 412
6432,Old graveyard
6433,Lot 763
6434,Lot 761
6435,Lot 555
6436,Lot 412
6437,Blank
6438,Lot 94
6439,Blank
6440,by fence
6441,Lot 762
6442,Old graveyard
6443,Catholic ground
6444,Old graveyard
6445,Lot 94
6446,Old graveyard
6447,Lot 763
6448,Catholic ground
6449,Old graveyard
6450,Pauper ground
6451,Lot 718
6452,
6453,Lot 567
6454,Lot 472
6455,Pauper ground
6456,Lot 762
6457,Lot 61
6458,Blank
6459,Blank
6460,Pauper ground
6461,Blank
6462,Lot 762
6463,Old graveyard
6464,by fence
6465,Lot 51
6466,
6467,Blank
6468,Blank
6469,Pauper ground
6470,Lot 763
6471,Pauper ground
6472,by fence
6473,Lot 567
6474,Pauper ground
6475,Lot 509
6476,Blank
6477,Pauper ground
6478,Pauper 567
6479,Pauper ground
6480,Pauper ground
6481,Pauper 51
6482,Lot 132
6483,Pauper ground
6484,Lot 51
6485,Pauper ground
6486,Lot 797
6487,Pauper ground
6488,Lot 70
6489,Lot 711
6490,Pauper ground
6491,Pauper ground
6492,Old graveyard
6493,
6494,Pauper ground
6495,Lot 534
6496,Lot 472
6497,Pauper ground
6498,Colored Grounds
6499,Pauper ground
6500,Lot 214
6501,Lot 380
6502,Strangers Grounds
6503,Pauper ground
6504,Lot 48
6505,Catholic ground
6506,Old graveyard
6507,Lot 347
6508,Pauper ground
6509,Lot 132
6510,Old graveyard
6511,Lot 156
6512,Lot 476
6513,Pauper ground
6514,Lot 568
6515,Lot 567
6516,Lot 797
6517,
6518,Lot 132
6519,Lot 567
6520,
6521,Lot 538
6522,Lot 567
6523,Lot 796
6524,Pauper ground
6525,Blank
6526,Lot 399
6527,Pauper ground
6528,Lot 752
6529,Lot 760
6530,Pauper ground 567
6531,by fence
6532,Lot 180
6533,Lot 575
6534,Old graveyard
6535,Lot 796
6536,Lot 246
6537,Lot 20 ?
6538,Lot 566
6539,Lot 99
6540,Lot 566
6541,by fence
6542,Old graveyard
6543,Lot 797
6544,Old graveyard
6545,Catholic ground
6546,Old graveyard
6547,Lot 132
6548,Lot 795
6549,
6550,by fence
6551,by fence
6552,Old graveyard
6553,Lot 566
6554,Old graveyard
6555,Pauper ground
6556,Old graveyard
6557,Lot 132
6558,Lot 132
6559,Lot 472
6560,by fence
6561,Lot 566
6562,Lot 566
6563,Old graveyard
6564,Old graveyard
6565,Lot 566
6566,by fence
6567,Lot 799
6568,Blank
6569,by fence
6570,Old graveyard
6571,Old graveyard
6572,by fence
6573,by fence
6574,Old graveyard
6575,Lot 472
6576,Colored Grounds
6577,by fence
6578,by fence
6579,Old graveyard
6580,by fence
6581,Lot 794
6582,Lot 511
6583,Old graveyard
6584,by fence
6585,Catholic ground
6586,
6587,Colored Grounds
6588,Blank
6589,Catholic ground
6590,by fence
6591,Old graveyard
6592,Lot 795
6593,Lot 511
6594,Old graveyard
6595,Lot 562
6596,Lot 562
6597,Lot 798
6598,Lot 796
6599,Lot 798
6600,by fence
6601,Old graveyard
6602,Blank
6603,Lot 132
6604,Blank
6605,by fence
6606,Old graveyard
6607,Lot 472
6608,Lot 353
6609,Lot 188
6610,Lot 94
6611,Pauper ground
6612,Old graveyard
6613,side road
6614,Lot 132
6615,Pauper ground
6616,Lot 360
6617,by fence
6618,Lot 362
6619,Old graveyard
6620,by fence
6621,by fence
6622,Lot 407
6623,Pauper ground
6624,Lot 568
6625,Lot 492
6626,Lot 438
6627,Blank
6628,near road
6629,Catholic ground
6630,Lot 132
6631,Near road
6632,Lot 62
6633,Lot 522
6634,by fence
6635,Old graveyard
6636,Lot 132
6655,catholic
6656,
6657,lot 795
6658,
6659,lot 799
6660,lot 799
6661,side lot 94
6662,
6663,lot 798
6664,pauper ground
6665,pauper ground
6666,lot 799
6667,old graveyard
6668,pauper ground
6669,lot 395
6670,
6671,
6672,lot 395
6673,lot 799
6674,near S gate
6675,pauper
6676,pauper
6677,
6678,mex pauper
6679,lot 562
6680,lot 581
6681,
6682,pauper
6683,
6684,lot 508
6685,N L 132
6686,
6687,lot 794
6688,lot 581
6689,lot 732
6690,
6691,
6692,lot 362
6693,lot 212
6694,lot 212
6695,pauper
6696,pauper
6697,
6698,Mexican Grounds
6699,pauper
6700,lot 508
6701,catholic
6702,
6703,lot 797
6704,lot 132
6705,old graveyard
6706,lot 80
6707,city 594 ground
6708,lot 479
6709,lot 479
6710,Lot 140
6711,
6712,
6713,
6714,
6715,Strangers Grounds
6716,Mexican Grounds
6717,old graveyard
6718,near S fence
6719,not given
6720,
6721,catholic
6722,pauper
6723,
6724,
6725,
6726,
6727,
6728,catholic
6729,
6730,old graveyard
6731,
6732,Mexican Grounds
6733,
6734,Braton Lot [?]
6735,
6736,Mexican Grounds
6737,
6738,near 94
6739,
6740,
6741,
6742,
6743,
6744,
6745,
6746,H. L. P. Ct.
6747,
6748,
6749,
6750,
6751,Mexican Grounds
6752,
6753,
6754,
6755,
6756,
6757,
6758,
6759,
6760,old graveyard
6761,H. L. P. Ct.
6762,
6763,
6764,Mexican Grounds
6765,
6766,
6767,old graveyard
6768,H. L. P. Ct.
6769,
6770,
6771,
6772,
6773,old graveyard
6774,
6775,
6776,
6777,old graveyard
6778,
6779,
6780,
6781,Highland Park
6782,old graveyard
6783,Colored Grounds
6784,Mexican Grounds
6785,catholic
6786,not given
6787,
6788,
6789,H. L. P. Ct.
6790,H. L. P. Ct.
6791,
6792,Hebrew
6793,H. L. P. Ct.
6794,not given
6795,
6796,catholic
6797,
6798,
6799,
6800,
6801,Catholic
6802,
6803,
6804,
6805,
6806,
6807,
6808,H. L. P. Ct.
6809,
6810,
6811,H. L. P. Ct.
6812,
6813,
6814,
6815,H. L. P. Ct.
6816,State Cemetery
6817,not given
6818,
6819,H. L. P. Ct.
6820,State Cemetery
6821,
6822,
6823,
6824,
6825,State Cemetery
6826,
6827,
6828,H. L. P. Ct.
6829,
6830,
6831,
6832,
6833,old graveyard
6834,H. L. P. Ct.
6835,
6836,Mason lot ?
6837,
6838,Colored Grounds
6839,State Cemetery
6840,
6841,old graveyard
6842,old graveyard
6843,H. L. P. Ct.
6844,H. L. P. Ct.
6845,Colored Grounds
6846,Colored Grounds
6847,H. L. P. Ct.
6848,
6849,Mexican Grounds
6850,H. L. P. Ct.
6851,old graveyard
6852,lot 798
6853,lot 594
6854,lot 564
6855,lot 278
6856,lot
6857,lot 478
6858,
6859,lot 134
6860,lot 594
6861,lot 155
6862,lot 17
6863,
6864,lot 594
6865,lot 594
6866,lot 359
6867,Highland Park
6868,lot 513
6869,Highland Park
6870,Hebrew Cemetery
6871,Hebrew Cemetery
6872,[cannot read]
6873,lot 278
6874,lot 360
6875,lot 3
6876,lot 349
6877,lot 134
6878,lot 465
6879,lot 359
6880,state cemetery
6881,Hebrew Cemetery
6882,lot 594
6883,not given
6884,State Cemetery
6885,H. L. P.
6886,Highland Park
6887,Highland Park
6888,
6889,Hebrew Cemetery
6890,
6891,Colored Grounds
6892,Colored Grounds
6893,
6894,
6895,
6896,
6897,
6898,
6899,Colored Grounds
6900,
6901,
6902,
6903,
6904,
6905,
6906,
6907,
6908,Highland Park
6909,Catholic ground
6910,State Cemetery
6911,
6912,
6913,
6914,Catholic ground
6915,Catholic ground
6916,
6917,Highland Park
6918,Colored Grounds
6919,Highland Park
6920,Hebrew Cemetery
6921,
6922,
6923,
6924,
6925,Colored Grounds
6926,
6927,
6928,Pauper ground
6929,
6930,
6931,
6932,
6933,
6934,Highland Park
6935,
6936,
6937,City cemetery
6938,
6939,
6940,
6941,
6942,Highland Park
6943,
6944,
6945,Highland Park
6946,
6947,
6948,State Cemetery
6949,
6950,
6951,State Cemetery
6952,
6953,
6954,
6955,Catholic ground
6956,
6957,Highland Park
6958,Old Graveyard
6959,
6960,Highland Park
6961,
6962,
6963,
6964,
6965,Colored Grounds
6966,
6967,
6968,Old Graveyard
6969,Old Graveyard
6970,
6971,Old Graveyard
6972,Old Graveyard
6973,Old Graveyard
6974,
6975,
6976,
6977,
6978,
6979,
6980,
6981,Old Graveyard
6982,Highland Park
6983,
6984,
6985,
6986,Highland Park
6987,Highland Park
6988,Old Graveyard
6989,
6990,
6991,
6992,State Cemetery
6993,Highland Park
6994,
6995,Catholic ground
6996,
6997,Mexican Grounds
6998,
6999,
7000,Highland Park
7001,
7002,City cemetery
7003,Old Graveyard
7004,
7005,Catholic ground
7006,Catholic ground
7007,Highland Park
7008,
7009,lot 174
7010,lot 260
7011,lot 212
7012,lot 502
7013,lot 45
7014,lot 45
7015,lot 45
7016,Highland Park
7017,Highland Park
7018,
7019,lot 326
7020,Highland Park
7021,lot 45
7022,lot 972
7023,Highland Park
7024,lot 269
7025,Highland Park
7026,lot 94
7027,State Cemetery
7028,State Cemetery
7029,Highland Park
7030,lot 545
7031,lot 535
7032,Highland Park
7033,Highland Park
7034,old graveyard
7035,lot 798
7036,
7037,
7038,lot 478
7039,Catholic ground
7040,Highland Park
7041,lot 594
7042,lot 490
7043,Highland Park
7044,old graveyard
7045,lot 279
7046,Highland Park
7047,lot 432
7048,Highland Park
7049,Catholic ground
7050,Highland Park
7051,Highland Park
7052,old graveyard
7053,Highland Park
7054,lot 212
7055,lot 438
7056,
7057,
7058,Highland Park
7059,
7060,Highland Park
7061,Highland Park
7062,
7063,
7064,Highland Park
7065,City Cemetery
7066,
7067,
7068,
7069,Highland Park
7070,Highland Park
7071,
7072,Highland Park
7073,near fence
7074,Catholic
7075,Highland Park
7076,blank
7077,Highland Park
7078,
7079,old graveyard
7080,
7081,Catholic
7082,old graveyard
7083,old graveyard
7084,Highland Park
7085,
7086,old graveyard
7087,Highland Park
7088,
7089,Highland Park
7090,
7091,Highland Park
7092,
7093,Highland Park
7094,
7095,near fence
7096,Catholic
7097,
7098,
7099,
7100,near fence
7101,near fence
7102,
7103,near fence
7104,Catholic
7105,
7106,Highland Park
7107,
7108,Catholic
7109,State Cemetery
7110,near E. fence
7111,Highland Park
7112,near E. fence
7113,Highland Park
7114,
7115,Highland Park
7116,
7117,
7118,
7119,near E. fence
7120,Highland Park
7121,Catholic
7122,old graveyard
7123,
7124,
7125,Highland Park
7126,near E. fence
7127,near E. fence
7128,Highland Park
7129,Hebrew Cemetery
7130,Highland Park
7131,
7132,
7133,
7134,
7135,
7136,
7137,
7138,old graveyard
7139,
7140,
7141,
7142,
7143,
7144,old graveyard
7145,
7146,
7147,blank
7148,Highland Park
7149,Highland Park
7150,old graveyard
7151,
7152,
7153,
7154,
7155,Highland Park
7156,Highland Park
7157,
7158,Highland Park
7159,Catholic
7160,Highland Park
7161,Highland Park
7162,
7163,
7164,Highland Park
7165,Highland Park
7166,
7167,old graveyard
7168,Catholic
7169,
7170,old graveyard
7171,
7172,
7173,
7174,
7175,Highland Park
7176,Highland Park
7177,Highland Park
7178,Highland Park
7179,Sect Lot City
7180,
7181,
7182,old graveyard
7183,Hebrew Cemetery
7184,
7185,Catholic
7186,old graveyard
7187,
7188,State Cemetery
7189,
7190,Highland Park
7191,
7192,Highland Park
7193,
7194,
7195,
7196,
7197,old graveyard
7198,
7199,
7200,
7201,Highland Park
7202,Highland Park
7203,lot 553
7204,lot 542
7205,near fence
7206,State Cemetery
7207,lot 186
7208,lot 745
7209,lot 745
7210,Highland Park
7211,Highland Park
7212,lot 429
7213,old graveyard
7214,
7215,lot 568
7216,Highland Park
7217,
7218,Highland Park
7219,lot 784
7220,Highland Park
7221,lot 362
7222,Highland Park
7223,
7224,State Cemetery
7225,lot 106
7226,old graveyard
7227,Highland Park
7228,Catholic
7229,State Cemetery
7230,Highland Park
7231,lot 192
7232,State Cemetery
7233,lot 70
7234,lot 415
7235,Highland Park
7236,Hebrew
7237,
7238,Highland Park
7239,lot 99
7240,
7241,lot 402
7242,Highland Park
7243,lot 484
7244,lot 542
7245,
7246,old graveyard
7247,Hebrew
7248,Highland Park
7249,Highland Park
7250,
7251,State Cemetery
7252,Highland Park
7253,lot 737
7254,lot 390
7255,lot 415
7256,Hebrew
7257,Highland Park
7258,Highland Park
7259,lot 535
7260,Highland Park
7261,Highland Park
7262,lot 737
7263,Highland Park
7264,lot 542
7265,lot 738
7266,Hebrew
7267,
7268,Catholic
7269,Highland Park
7270,near fence
7271,Highland Park
7272,lot 376
7273,Catholic
7274,lot 511
7275,State Cemetery
7276,State Cemetery
7277,lot 542
7278,near fence
7279,Highland Park
7280,Highland Park
7281,old graveyard
7282,near fence
7283,lot 380
7284,Highland Park
7285,near fence
7286,Highland Park
7287,Catholic
7288,Catholic
7289,Catholic
7290,Hebrew
7291,lot 134
7292,lot 741
7293,Highland Park
7294,Catholic
7295,Highland Park
7296,State Cemetery
7297,Catholic
7298,State Cemetery
7299,Highland Park
7300,lot 574
7301,near fence
7302,
7303,lot 374
7304,lot 332
7305,lot 93
7306,Highland Park
7307,
7308,lot 544
7309,City Cemetery
7310,Highland Park
7311,lot 109
7312,lot 339
7313,Hebrew
7314,lot 62
7315,lot 752
7316,Catholic
7317,lot 484
7318,Highland Park
7319,Highland Park
7320,old graveyard
7321,lot 841
7322,lot 781
7323,
7324,near fence
7325,Highland Park
7326,near fence
7327,old graveyard
7328,lot 384
7329,State cemetery
7330,lot 204
7331,Highland Park
7332,
7333,
7334,Highland Park
7335,Highland Park
7336,lot 764
7337,Highland Park
7338,
7339,lot 719
7340,Catholic
7341,
7342,Catholic
7343,lot 722
7344,near fence
7345,Highland Park
7346,Highland Park
7347,lot 178
7348,Highland Park
7349,Catholic
7350,lot 25
7351,
7352,lot 330
7353,lot 361
7354,lot 376
7355,Highland Park
7356,State Cemetery
7357,lot 212
7358,State Cemetery
7359,lot 71
7360,
7361,Highland Park
7362,old graveyard
7363,olf graveyard
7364,Highland Park
7365,lot 188
7366,old graveyard
7367,lot 281
7368,lot 197
7369,lot 367
7370,old graveyard
7371,Highland Park
7372,Catholic
7373,old graveyard
7374,Near fence
7375,
7376,Lot 2
7377,Highland Park
7378,old graveyard
7379,
7380,
7381,Hebrew Cemetery
7382,
7383,Highland Park
7384,
7385,
7386,
7387,
7388,
7389,
7390,
7391,
7392,old graveyard
7393,City Cemetery
7394,Highland Park
7395,
7396,
7397,
7398,Catholic
7399,lot 293
7400,lot 93
7401,Hebrew
7402,old graveyard
7403,lot 513
7404,lot 292
7405,Highland Park
7406,Highland Park
7407,Highland Park
7408,State Cemetery
7409,
7410,Highland Park
7411,
7412,Highland Park
7413,lot 263
7414,lot 722
7415,State Cemetery
7416,lot 183
7417,
7418,Highland Park
7419,Highland Park
7420,
7421,lot 702
7422,lot 327
7423,old graveyard
7424,
7425,
7426,lot 736
7427,lot 58
7428,lot 502
7429,State Cemetery
7430,lot 274
7431,lot 113
7432,
7433,old graveyard
7434,lot 267
7435,lot 26
7436,State Cemetery
7437,Highland Park
7438,
7439,
7440,Highland Park
7441,lot 535
7442,Highland Park
7443,State Cemetery
7444,lot 5
7445,old graveyard
7446,Hebrew
7447,old graveyard
7448,lot 319
7449,State Cemetery
7450,State Cemetery
7451,old graveyard
7452,
7453,
7454,
7455,
7456,
7457,Catholic
7458,
7459,State Cemetery
7460,blank
7461,Hebrew
7462,
7463,
7464,State Cemetery
7465,City Cemetery
7466,
7467,
7468,
7469,
7470,
7471,Old graveyard
7472,
7473,
7474,near fence
7475,
7476,old graveyard
7477,Hebrew Cemetery
7478,
7479,
7480,Catholic
7481,Catholic
7482,
7483,State Cemetery
7484,near fence
7485,near fence
7486,old graveyard
7487,State Cemetery
7488,State Cemetery
7489,
7490,Old graveyard
7491,
7492,Old graveyard
7493,
7494,City Cemetery
7495,
7496,Old graveyard
7497,State Cemetery
7498,
7499,
7500,
7501,State Cemetery
7502,
7503,Old graveyard
7504,State cemetery
7505,near fence
7506,Old graveyard
7507,
7508,
7509,
7510,Old graveyard
7511,
7512,
7513,
7514,
7515,City cemetery
7516,City cemetery
7517,
7518,near fence
7519,
7520,
7521,
7522,
7523,
7524,
7525,near fence
7526,
7527,City cemetery
7528,
7529,City cemetery
7530,
7531,State cemetery
7532,State cemetery
7533,
7534,
7535,
7536,
7537,near fence
7538,
7539,Hebrew Cemetery
7540,
7541,
7542,
7543,
7544,Old graveyard
7545,
7546,State cemetery
7547,
7548,
7549,
7550,
7551,Catholic cemetery
7552,
7553,
7554,Catholic cemetery
7555,Catholic cemetery
7556,
7557,
7558,State cemetery
7559,Old graveyard
7560,
7561,
7562,
7563,State cemetery
7564,
7565,
7566,
7567,near fence
7568,Old graveyard
7569,Catholic cemetery
7570,
7571,State cemetery
7572,Hebrew cemetery
7573,
7574,
7575,
7576,State cemetery
7577,
7578,
7579,Catholic cemetery
7580,Old graveyard
7581,State cemetery
7582,
7583,
7584,near fence
7585,Catholic cemetery
7586,old graveyard
7587,near fence
7588,
7589,City cemetery
7590,
7591,
7592,
7593,
7594,fence
7595,old graveyard
7596,
7597,
7598,blank
7599,fence
7600,old graveyard
7601,Catholic cemetery
7602,Catholic cemetery
7603,Catholic cemetery
7604,fence
7605,Catholic cemetery
7606,
7607,fence
7608,Old graveyard
7609,
7610,Old graveyard
7611,
7612,Catholic cemetery
7613,Catholic cemetery
7614,
7615,
7616,
7617,fence
7618,Catholic cemetery
7619,Catholic cemetery
7620,fence
7621,
7622,State cemetery
7623,Old graveyard
7624,
7625,
7626,N. fence
7627,
7628,
7629,
7630,
7631,State cemetery
7632,N. fence
7633,State cemetery
7634,Old graveyard
7635,
7636,
7637,
7638,blank
7639,N. Fence
7640,Catholic cemetery
7641,State cemetery
7642,
7643,
7644,blank
7645,
7646,Old graveyard
7647,old graveyard
7648,
7649,
7650,
7651,Hebrew cemetery
7652,State cemetery
7653,Hebrew cemetery
7654,
7655,
7656,
7657,
7658,
7659,
7660,
7661,Hebrew cemetery
7662,old graveyard
7663,Catholic cemetery
7664,State cemetery
7665,State cemetery
7666,N. Fence
7667,Lot 583
7668,Lot 403
7669,Lot 423
7670,State cemetery
7671,Lot 347
7672,Catholic
7673,Lot 477
7674,old graveyard
7675,old graveyard
7676,old graveyard
7677,Lot 168
7678,Lot 743
7679,State cemetery
7680,Catholic
7681,old graveyard
7682,Lot 489
7683,Lot 188
7684,Lot 725
7685,Lot 728
7686,old graveyard
7687,lot 143
7688,lot 469
7689,lot 39
7690,near fence
7691,State Cemetery
7692,lot 273
7693,old graveyard
7694,
7695,lot 786
7696,old graveyard
7697,lot 712
7698,State Cemetery
7699,lot 203
7700,old graveyard
7701,near fence
7702,lot 723
7703,catholic cemetery
7704,lot 410
7705,lot 445
7706,lot 410
7707,catholic
7708,old graveyard
7709,lot 412
7710,old graveyard
7711,lot 35
7712,lot 553
7713,near fence
7714,catholic
7715,
7716,lot 784
7717,lot 764
7718,old graveyard
7719,lot 733
7720,lot 733
7721,
7722,old graveyard
7723,
7724,catholic
7725,State Cemetery
7726,lot 412
7727,lot 1141
7728,lot 751
7729,lot 85
7730,near fence
7731,lot 95
7732,lot 764
7733,lot 375
7734,lot 1
7735,lot 203
7736,lot 412
7737,lot 954
7738,lot 412
7739,
7740,lot 764
7741,lot 953
7742,catholic
7743,old graveyard
7744,lot 73
7745,lot 286
7746,lot 458
7747,State Cemetery
7748,Lot 764
7749,lot 523 (323)
7750,catholic
7751,State Cemetery
7752,near fence
7753,lot 1154
7754,lot 565
7755,lot 1001
7756,lot 954
7757,lot 401
7758,lot 473
7759,lot 542
7760,lot 944
7761,lot 40
7762,lot 747
7763,old graveyard
7764,lot 967
7765,lot 534
7766,old graveyard
7767,lot 747
7768,catholic
7769,lot 967
7770,lot 967
7771,catholic
7772,lot 991
7773,lot 451
7774,lot 798
7775,lot 380
7776,lot 380
7777,
7778,old graveyard
7779,State Cemetery
7780,State Cemetery
7781,lot 979
7782,lot 1066
7783,lot 976
7784,lot 782
7785,old graveyard
7786,lot 1067
7787,lot 947
7788,lot 401
7789,lot 345
7790,lot 718
7791,lot 947
7792,near fence
7793,Catholic cemetery
7794,old graveyard
7795,Catholic Cemetery
7796,old graveyard
7797,lot 991
7798,lot 1041
7799,lot 964
7800,lot 947
7801,lot 947
7802,
7803,lot 5
7804,Catholic cemetery
7805,near fence
7806,near gate
7807,lot 521
7808,State Cemetery
7809,Catholic
7810,near fence
7811,lot 806
7812,Hebrew cemetery
7813,old graveyard
7814,lot 1005
7815,lot 94
7816,Hebrew
7817,lot 743
7818,State Cemetery
7819,lot 988
7820,lot 756
7821,
7822,lot 172
7823,lot 359
7824,Catholic
7825,lot 1005
7826,old graveyard
7827,lot 947
7828,lot 380
7829,lot 988
7830,
7831,lot 1028
7832,lot 806
7833,near fence
7834,Hebrew
7835,lot 90
7836,old graveyard
7837,Lot 563
7838,lot 530
7839,lot 1104
7840,lot 322
7841,lot 806
7842,old graveyard
7843,lot 425
7844,lot 795
7845,lot 47
7846,State Cemetery
7847,old graveyard
